text,emotion
"Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .",neutral
"Oh , yeah . Had that dream .",neutral
"Then I look down , and I realize there is a phone ... there .",surprise
Instead of ... ?,surprise
That is right .,anger
Never had that dream .,neutral
No .,neutral
"All of a sudden , the phone starts to ring .",neutral
"I do not want to be single , okay ? I just ... I just ... I just wanna be married again !",sadness
And I just want a million dollars !,neutral
Rachel ? !,surprise
Oh my God !,surprise
"I know , I know , I am such an idiot .",neutral
"I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?",sadness
"My brother going through that right now , he is such a mess . How did you get through it ?",neutral
"Well , you might try accidentally breaking something valuable of hers , say her ...",neutral
leg ?,surprise
That is one way !,joy
"Me , I ... I went for the watch .",neutral
You actually broke her watch ?,surprise
"Barry , I am sorry ...",sadness
I am so sorry ...,sadness
"I know you probably think that this is all about what I said the other day about you making love with your socks on , but it is not ... it is not , it is about me , and I ju ...",sadness
"Oh , look , wish me luck !",joy
What for ?,neutral
I am gonna go get one of those job things .,joy
"You know you probably did not know this , but back in high school , I had a , um , major crush on you .",neutral
I knew .,neutral
You did ! Oh ...,surprise
I always figured you just thought I was Monica geeky older brother .,neutral
I did .,neutral
Oh .,sadness
"Listen , do you think ... and try not to let my intense vulnerability become any kind of a factor here ... but do you think it would be okay if I asked you out ? Sometime ? Maybe ?",neutral
"Yeah , maybe ...",joy
Okay ...,neutral
"okay , maybe I will ...",neutral
"What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .",sadness
I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !,surprise
"Well , at least she had the chance to leave a man at the altar ...",neutral
What that supposed to mean ?,surprise
Nothing ! It is an expression .,neutral
No it is not .,neutral
Do not listen to your mother .,neutral
"You are independent , and you always have been !",neutral
"Even when you were a kid ... and you were chubby , and you had no friends , you were just fine !",neutral
"And you would read alone in your room , and your puzzles ...",neutral
"Sorry I am late , I was stuck at work . There was this big dinosaur ... thing ... anyway .",sadness
Hi .,neutral
"Ross , you remember Susan ?",neutral
How could I forget ?,neutral
Ross .,neutral
"Hello , Susan . Good shake . Good shake .",neutral
"So , uh , we are just waiting for ... ?",neutral
Dr . Oberman .,neutral
... Dr . Oberman . Okay . And is he ...,neutral
She .,neutral
"she , of course , she ... uh ... familiar with our ... special situation ?",neutral
"Yes , and she is very supportive .",joy
"Great . Okay , that is great .",joy
"No , I am ... Oh .",neutral
Thanks .,neutral
"Quack , quack ...",joy
Ross ? That opens my cervix .,surprise
Barry ?,surprise
C mon in .,neutral
Are you sure ?,surprise
"Yeah ! It is fine , it is fine . Robbie gonna be here for hours .",neutral
Huh ? !,surprise
"So , how you doin ?",neutral
So . What have you been up to ?,neutral
"Oh , not much . I ... I got a job .",joy
"Oh , that is great .",joy
Why are ... why are you so tanned ?,surprise
"Oh , I , uh ... I went to Aruba .",neutral
"Let it go , Ross .",neutral
"Yeah , well , you did not know Chi Chi .",anger
Do you all promise ?,neutral
Yeah ! We promise ! We will be good !,neutral
Chandler ? Do you promise to be good ?,neutral
"You can come in , but your filter ... tipped little buddy has to stay outside !",joy
"Hey , Pheebs .",neutral
Dear Ms . Buffay . Thank you for calling attention to our error . We have credited your account with five hundred dollars .,neutral
"We are sorry for the inconvenience , and hope you will accept this football phone ... as our free gift . Do you believe this ? ! Now I have a thousand dollars , and a football phone !",surprise
How was the game ?,neutral
Well ...,neutral
WE WON ! ! Thank you ! Yes !,joy
Fantastic ! I have one question : How is that possible ?,surprise
Alan .,neutral
"He was unbelievable . He was like that ... that ... that Bugs Bunny cartoon where Bugs is playing all the positions , right , but instead of Bugs it was first base ... Alan , second base ... Alan , third base ...",joy
"I mean , it ... it was like , it was like he made us into a team .",joy
"Yep , we sure showed those Hassidic jewellers a thing or two about softball ...",joy
Can I ask you guys a question ? Do you ever think that Alan is maybe ... sometimes ...,neutral
What ?,surprise
"I do not know , a little too Alan ?",neutral
"Well , no . That is impossible . He can never be too Alan .",surprise
"Yeah , it is his , uh , innate Alan ... ness that ... that ... that we adore .",joy
I personally could have a gallon of Alan .,neutral
"Well , maybe it is a contest , you know ? Like , collect all five ?",neutral
"Does , um , anyone wanna see ?",neutral
Nooo ...,disgust
"Oh , hey , do not do that ! Cut it out !",anger
It is worse than the thumb !,disgust
"Hey , this is so unfair !",anger
"Oh , why is it unfair ?",surprise
So I have a flaw !,anger
Big deal !,anger
Like Joey constant knuckle ... cracking is not annoying ?,anger
"And Ross , with his over ... pronouncing every single word ?",anger
"And Monica , with that snort when she laughs ?",anger
"I mean , what the hell is that thing ?",disgust
"... I accept all those flaws , why can not you accept me for this ?",anger
... Does the knuckle ... cracking bother everybody ?,anger
"Well , I ... I could live without it .",neutral
"Well , is it , like , a little annoying , or is it like when Phoebe chews her hair ?",neutral
"Oh , now , do not listen to him , Pheebs , I think it is endearing .",neutral
"Oh , "" you do , do you "" ?",anger
"You know , there is nothing wrong with speaking correctly .",neutral
""" Indeed there is not "" ... I should really get back to work .",neutral
"Yeah , cause otherwise someone might get what they actually ordered .",neutral
"Ohh ... ho ... hooohhh . The hair comes out , and the gloves come on .",anger
Do you have any respect for your body ?,disgust
Do not you realise what you are ... you are doing to yourself ?,disgust
"Hey , you know , I have had it with you guys and your cancer and your emphysema and your heart disease .",anger
"The bottom line is , smoking is cool , and you know it .",neutral
"Chandler ? It is Alan , he wants to speak to you .",neutral
Really ? He does ?,surprise
"Hey , buddy , what up !",joy
"Oh , she told you about that , huh .",surprise
"Well , yeah , I have one now and then .",neutral
"Well , yeah , now .",neutral
"Well , it is not that big ...",neutral
"Well , that is true ...",neutral
"Gee , you know , no one ... no one ever put it like that before .",joy
"Well , okay , thanks !",joy
"God , he is good .",joy
If only he were a woman .,neutral
Yeah .,neutral
Remember when we went to Central Park and rented boats ? ... That was fun .,sadness
Yeah . He could row like a viking .,sadness
Hi .,neutral
Mmm .,neutral
So how would it go ?,neutral
"Oh , you know ...",neutral
Did he mention us ?,neutral
He said he is really gonna miss you guys .,neutral
"You had a rough day , huh ?",sadness
"Oh , you have no idea .",sadness
How does she do that ?,surprise
I cannot sleep in a public place .,neutral
Would you look at her ? She is so peaceful .,joy
Oh ! What what what ! ... Hi .,surprise
"It is okay , you know , you just nodded off again .",neutral
What going on with you ?,surprise
I got no sleep last night !,anger
Why ?,neutral
"My grandmother has this new boyfriend , and they are both kind of insecure in bed ... and deaf .",disgust
"So they are constantly , like , having to reassure each other that they are having a good time .",neutral
You have no idea how loud they are !,disgust
"Well , if you want , you can stay with Rachel and me tonight .",neutral
Thanks .,joy
"So c mon , you guys , tell me all the dirt !",joy
"Well , the biggest news is still you dumping Barry at the altar !",joy
Alright . Let talk reality for a second .,neutral
Okay .,neutral
When are you coming home ?,neutral
"What ? Guys , I am not .",surprise
"C mon , this is us .",neutral
I am not ! This is what I am doing now . I have got this job ...,neutral
Waitressing ?,surprise
"Okay , I am not just waitressing . I am ... I , um ...",neutral
"I write the specials on the specials board , and , uh ...",neutral
"and I , uh ... I take the uh dead flowers out of the vase ... Oh , and , um , sometimes Artelle lets me put the little chocolate blobbies on the cookies .",joy
"Hey , Rach . How was it with your friends ?",neutral
Okay ! How would you like some Tiki Death Punch ?,joy
What that ?,neutral
"Weeeell , it is rum , and ...",neutral
"Well , you will have to wait your turn .",neutral
"Well , how long do you think it will be ?",neutral
Any minute now .,neutral
"I am so sorry , you guys . I did not mean to bring you down .",sadness
"No , you were right . I do not have a plan .",sadness
Pizza guy !,neutral
Thank God . Food .,joy
Phoebe ?,neutral
What ?,neutral
Do you have a plan ?,neutral
I do not even have a pl .,sadness
"Hi , one , uh , mushroom , green pepper and onion ?",neutral
"No , no , that is not what we ordered ... We ordered a fat ... free crust with extra cheese .",sadness
"Wait , you are not G . Stephanopoulos ? Man , my dad gonna kill me !",sadness
Wait ! Did you say G . Stephanopoulos ?,surprise
"Yeah . This one goes across the street , I must have given him yours . Oh , bonehead , bonehead !",anger
"Wait , was this a ... a small mediterranean guy with curiously intelligent good looks ?",surprise
"Yeah , that sounds about right .",neutral
Was he wearing a stunning blue suit ?,joy
And ... and a power tie ?,neutral
"No , pretty much just a towel .",neutral
Oh God .,surprise
So you guys want me to take this back ?,sadness
Are you nuts ? ! We have got George Stephanopoulos pizza !,surprise
"Uh , Pheebs ? Who George Snuffalopagus ?",neutral
Big Bird friend .,neutral
I see pizza !,joy
"Oh , I wanna see ! Let me see ! Let me see !",joy
Hello ? Who are we spying on ?,sadness
Light still out ?,neutral
Yeah .,neutral
Oh . Maybe they are ... napping .,neutral
"Oh please , they are having sex .",sadness
Shut up !,anger
"So , whaddya think George is like ?",neutral
I think he is shy .,neutral
Yeah ?,surprise
Yeah . I think you have to draw him out . And then ... when you do ... he is a preppy animal .,neutral
There he is ! There he is !,surprise
Where ?,surprise
Right ... where we have been looking all night !,joy
He is so cute !,joy
"Oh , George , baby , drop the towel !",joy
"Yeah , drop it ! Drop the towel ! Please drop the ... wowww .",joy
"Okay , Monica : Right foot red .",neutral
"Could have played Monopoly , but nooooo .",neutral
Thanks .,neutral
"Okay , Pheebs : Right hand blue . Good .",neutral
"Hello ? Oh , uh , Rachel , it is the Visa card people .",neutral
"Oh , okay . Will you take my place ?",neutral
"Alright . Yes , this is Rachel .",neutral
Nooo !,surprise
Hello ?,neutral
"Oh , yeah , no , I know , I ... I have not been using it much .",neutral
"Oh , well , thanks , but , I am okay , really .",joy
Green . To the green .,neutral
I have got magic beans . Never ... never mind .,neutral
"To the left , to the left ... aww !",neutral
Ohhh ... I am fine .,neutral
"Oh , god help us .",surprise
What ?,surprise
Ugly Naked Guy laying kitchen tile . Eww !,disgust
"Look , I am asking a favor here . If I do this for her brother , maybe Angela will come back to me .",sadness
"I know , but , I made a huge mistake . I never should have broken up with her . Will you help me ? Please ?",sadness
"Ok , bye . Well , Monica not coming , it is just gonna be me and Rachel .",neutral
"Oh . Well , hold on camper , are you sure you have thought this thing through ?",neutral
It is laundry . The thinking through is minimal .,neutral
"It is just you and Rachel , just the two of you ? This is a date . You are going on a date .",joy
Nuh ... uh .,fear
Yuh ... huh .,joy
"So what are you saying here ? I should shave again , pick up some wine , what ?",surprise
"Well , you may wanna rethink the dirty underwear .",disgust
This is basically the first time she is gonna see your underwear ... you want it to be dirty ?,surprise
No .,sadness
"Oh , and uh , the fabric softener ?",neutral
"Ok , ok , now what is wrong with my Snuggles ?",anger
"Well , I am gonna get another espresso . More latte ?",neutral
"No , no , I am still working on mine .",neutral
That is it ?,surprise
"Yeah , it was really hard .",sadness
"Oh , yeah , that hug looked pretty brutal .",neutral
"Ok , you were not there .",anger
"Coming through . Move , move .",anger
"Oh , excuse me . I was kinda using that machine .",joy
"Yeah , well , now you are kinda not .",disgust
But I saved it . I put my basket on top .,neutral
"Oh , I am sorry , is that your basket ? It is really pretty . Unfortunately , I do not see suds .",anger
What ?,surprise
"No suds , no save . Ok ?",anger
What going on ?,neutral
"Hi , uh , nothing . That horrible woman just took my machine .",sadness
Was your basket on top ?,neutral
"Yeah , but , there were no suds .",neutral
So ?,neutral
"Well , you know , no suds , no save .",neutral
"No suds ? Excuse me , hold on a second . That is my friend machine .",anger
"Hey , hey , hey , her stuff was not in it .",anger
"Hey , hey , hey , that is not the rule and you know it .",anger
"So , you and Angela , huh ?",neutral
Yep . Pretty much .,joy
"Ok , I know this is gonna sound really stupid , but I feel that if I can do this , you know , if I can actually do my own laundry , there is not anything I can not do .",joy
That does not sound stupid to me .,neutral
"You know , it is like the first time I had to make dinner for myself , after Carol left me ?",neutral
"I am sorry , that is all the time we have .",sadness
Next on Ross ...,neutral
Ok . Uh ... oh .,fear
What uh ... oh ?,neutral
"Uh ... oh , uh ... oh , the laundry done . It is , uh , it is a song . The laundry song that we sing . Uh ... oh the laundry done , uh ... oh , uh ... oh .",fear
"Ross , what the matter ?",anger
"Nothing , nothing . Lee ... lo , the laundry done .",fear
"Something went wrong with Underdog , and they could not get his head to inflate .",joy
"So anyway , um , his head is like flopping down Broadway , right , and I am just thinking ... how inappropriate this is .",joy
"Um , I have got something in my eye , uh , Joey , could we check it in the light , please ?",neutral
Oh my god .,surprise
What ?,surprise
Hello ! Were we at the same table ? It is like ... cocktails in Appalachia .,anger
"Come on , they are close .",neutral
Close ? She is got her tongue in his ear .,disgust
"Oh , like you have never gotten a little rambunctious with Ross .",neutral
"Joey , this is sick , it is disgusting , it is , it is ... not really true , is it ?",disgust
"Well , who to say what true ? I mean ...",neutral
"Oh my god , what were you thinking ?",disgust
"All right , look , I am not proud of this , ok ? Well , maybe I am a little .",neutral
Oh !,surprise
Ow !,surprise
I am outta here .,disgust
"Wait , wait , wait . Come on . You want him , I want her . He likes you .",sadness
Really ?,surprise
"Yeah . I am thinking , if we put our heads together , between the two of us , we can break them up .",neutral
"Here is the thing , Janice . You know , I mean , it is like we are different . I am like the bing , bing , bing . You are like the boom , boom , ... boom .",neutral
Ow !,surprise
"Oh , my god , I am so sorry . Are you ok ?",surprise
"Ow . Um , it is just my lens . It is just my lens . I will be right back .",sadness
I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .,sadness
Oh my god !,surprise
How many of those have you had ?,neutral
"Oh , I do not know , a million ?",joy
"Chandler , easy , easy . Go to your happy place . La la la la la la la .",neutral
I am fine .,neutral
All right .,neutral
I am not fine . Here she comes .,fear
Wait here . Breathe .,neutral
How do you do that ?,surprise
It is like a gift .,neutral
We should always always break up together .,neutral
"Oh , I would like that .",neutral
"Oh , are you sure you are ok ?",sadness
Yeah .,neutral
Does it still hurt ?,sadness
Yeah .,sadness
What a neat idea . All your clothes match . I am gonna do this .,joy
Hi .,neutral
"Hey , how would it go ?",neutral
Excellent .,joy
"We ripped that couple apart , and kept the pieces for ourselves .",joy
What a beautiful story .,joy
"Hey , I am fine by the way .",neutral
"Oh , I am sorry .",sadness
Where is Chandler ?,neutral
"Oh , he needed some time to grieve .",neutral
I am free ! I am free !,joy
That oughta do it .,neutral
I feel violated .,sadness
"Did anybody else feel they just wanted to peel the skin off their body , to have something else to do ?",disgust
"Ross , ten o clock .",neutral
Is it ? Feels like two .,sadness
"No , ten o clock .",neutral
What ?,surprise
"There is a beautiful woman at eight , nine , ten o clock !",joy
Oh . Hel ... lo !,joy
"She is amazing ! She makes the women that I dream about look like short , fat , bald men !",surprise
"Well , go over to her ! She is not with anyone .",joy
"Oh yeah , and what would my opening line be ? Excuse me . Blarrglarrghh .",fear
"Oh , c mon . She is a person , you can do it !",joy
"Oh please , could she be more out of my league ? Ross , back me up here .",neutral
He could never get a woman like that in a million years .,neutral
"Thank you , buddy .",neutral
"Oh , oh , but you know , you always see these really beautiful women with these really nothing guys , you could be one of those guys .",neutral
You could do that !,joy
You think ?,surprise
"... Dammit , hire the girl ! Okay , everybody ready ?",anger
